id,template_type,tool,user_query,requires_clarification,ground_truth,Review_Status (OK/Fix/Drop),Reviewer_Notes
seed_0307_pure_bangla_4,pure_bangla,create_calendar_event,অনুগ্রহ করে মঙ্গলবার সন্ধ্যা ৬টার দিকে লাঞ্চের সময় নির্ধারণ করুন।,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Lunch"", ""date"": ""Tuesday"", ""time"": ""18:00""}}",,
seed_0153_persona_code_switch_3,persona_code_switch,order_food,"Domino's theke 1 ta pizza jodi order kore dite partey, bhalo hoto.",No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Domino's"", ""item"": ""Pizza"", ""quantity"": 1}}",,
seed_0166_transliteration_2,transliteration,order_food,KFC theke 3ti pizza order dao plz.,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""KFC"", ""item"": ""Pizza"", ""quantity"": 3}}",,
seed_0213_persona_code_switch_2,persona_code_switch,send_email,"Boss-ke meeting niye ekta email send kora lagbe, ektu kore daw na?",No,"{""tool_name"": ""send_email"", ""parameters"": {""recipient"": ""Boss"", ""subject"": ""Meeting"", ""body"": ""Regarding the Meeting""}}",,
seed_0285_transliteration_3,transliteration,create_calendar_event,plz friday 14:00 te Doctor schedule kore dao.,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Doctor"", ""date"": ""Friday"", ""time"": ""14:00""}}",,
seed_0242_persona_code_switch_2,persona_code_switch,create_calendar_event,"Monday 14:00-te ekta meeting schedule koro to, please.",No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Meeting"", ""date"": ""Monday"", ""time"": ""14:00""}}",,
seed_0255_pure_bangla_5,pure_bangla,create_calendar_event,আগামী শুক্রবার সকাল ১০টায় মিটিং ফিক্স করে দাও।,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Meeting"", ""date"": ""Friday"", ""time"": ""10:00""}}",,
seed_0360_persona_code_switch_4,persona_code_switch,search_flights,"London-er flight search kora lagbe, ektu help koro.",Yes,"{""tool_name"": ""search_flights"", ""parameters"": {""destination"": ""London""}}",,
seed_0037_persona_code_switch_3,persona_code_switch,get_weather,"Delhi-r weather kalke kemon thakbe, ektu check kore daw to?",No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""Delhi"", ""date"": ""tomorrow""}}",,
seed_0340_transliteration_1,transliteration,search_flights,Kolkata theke Delhi flight er info dao toh,No,"{""tool_name"": ""search_flights"", ""parameters"": {""origin"": ""Kolkata"", ""destination"": ""Delhi"", ""date"": ""tomorrow""}}",,
seed_0170_persona_code_switch_0,persona_code_switch,order_food,"Star Kabab theke ekta burger order kore daw to, bhai.",No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Star Kabab"", ""item"": ""Burger"", ""quantity"": 1}}",,
seed_0021_pure_bangla_1,pure_bangla,get_weather,আজ মুম্বাইয়ের আবহাওয়ার খবর কী?,No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""Mumbai"", ""date"": ""today""}}",,
seed_0087_transliteration_2,transliteration,book_ride,"Gulshan to Airport ride book krte chai, plz help.",No,"{""tool_name"": ""book_ride"", ""parameters"": {""pickup"": ""Gulshan"", ""destination"": ""Airport""}}",,
seed_0331_transliteration_4,transliteration,search_flights,Dhk theke Delhi flight pabo naki klk?,No,"{""tool_name"": ""search_flights"", ""parameters"": {""origin"": ""Dhaka"", ""destination"": ""Delhi"", ""date"": ""tomorrow""}}",,
seed_0376_pure_bangla_4,pure_bangla,currency_convert,৫০০ ইউএসডি (USD)-এর বর্তমান বিনিময় মূল্য ভারতীয় রুপি (INR)-এ কত?,No,"{""tool_name"": ""currency_convert"", ""parameters"": {""amount"": 500, ""from_currency"": ""USD"", ""to_currency"": ""INR""}}",,
seed_0023_pure_bangla_3,pure_bangla,get_weather,আজ Mumbai-তে কেমন আবহাওয়া যাচ্ছে বল তো?,No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""Mumbai"", ""date"": ""today""}}",,
seed_0173_persona_code_switch_4,persona_code_switch,order_food,"Star Kabab theke 2ta burger order koro, please bhai.",No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Star Kabab"", ""item"": ""Burger"", ""quantity"": 2}}",,
seed_0269_pure_bangla_4,pure_bangla,create_calendar_event,সোমবার দুপুর ২টার সময় ডাক্তারের সাথে দেখা করার পরিকল্পনা সেট করো।,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Doctor"", ""date"": ""Monday"", ""time"": ""14:00""}}",,
seed_0332_transliteration_0,transliteration,search_flights,Dhaka theke Delhi flight khujun.,No,"{""tool_name"": ""search_flights"", ""parameters"": {""origin"": ""Dhaka"", ""destination"": ""Delhi""}}",,
seed_0015_pure_bangla_4,pure_bangla,get_weather,কলকাতা শহরের তাপমাত্রা এখন কত চলছে?,No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""Kolkata""}}",,
seed_0305_persona_code_switch_0,persona_code_switch,create_calendar_event,"Tuesday 14:00 te lunch schedule kore daw to, bhai.",No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Lunch"", ""date"": ""Tuesday"", ""time"": ""14:00""}}",,
seed_0298_persona_code_switch_5,persona_code_switch,create_calendar_event,Monday 18:00 er dike lunch ta fix kore daw na?,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Lunch"", ""date"": ""Monday"", ""time"": ""18:00""}}",,
seed_0381_pure_bangla_5,pure_bangla,currency_convert,"১০০ টাকা দিয়ে কত ডলার হবে, হিসাব করে দাও তো।",No,"{""tool_name"": ""currency_convert"", ""parameters"": {""amount"": 100, ""from_currency"": ""BDT"", ""to_currency"": ""USD""}}",,
seed_0167_persona_code_switch_0,persona_code_switch,order_food,"Bhai, KFC theke 3 ta pizza order koro to.",No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""KFC"", ""item"": ""Pizza"", ""quantity"": 3}}",,
seed_0131_transliteration_0,transliteration,order_food,Domino's theke 3 ta kacchi biryani order koro.,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Domino's"", ""item"": ""Kacchi Biryani"", ""quantity"": 3}}",,
seed_0105_transliteration_3,transliteration,book_ride,Airport er jonno ekta taxi ready koro.,Yes,"{""tool_name"": ""book_ride"", ""parameters"": {""destination"": ""Airport""}}",,
seed_0275_transliteration_0,transliteration,create_calendar_event,Tuesday te 10:00 baje Doctor schedule koro.,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Doctor"", ""date"": ""Tuesday"", ""time"": ""10:00""}}",,
seed_0165_transliteration_5,transliteration,order_food,KFC theke 2 ta pizza order de.,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""KFC"", ""item"": ""Pizza"", ""quantity"": 2}}",,
seed_0238_pure_bangla_1,pure_bangla,create_calendar_event,সোমবার ১০টার সময় একটা মিটিং ফিক্স করে দাও।,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Meeting"", ""date"": ""Monday"", ""time"": ""10:00""}}",,
seed_0076_persona_code_switch_5,persona_code_switch,book_ride,Jodi paro to airport theke Gulshan er ekta ride book kore dao.,No,"{""tool_name"": ""book_ride"", ""parameters"": {""pickup"": ""Airport"", ""destination"": ""Gulshan""}}",,
seed_0097_transliteration_2,transliteration,book_ride,Airport jaoar jonno ekta taxi koro to.,Yes,"{""tool_name"": ""book_ride"", ""parameters"": {""destination"": ""Airport""}}",,
seed_0205_persona_code_switch_1,persona_code_switch,send_email,"Bhai, Rahul-ke report-er byapare ekta email kore daw.",No,"{""tool_name"": ""send_email"", ""parameters"": {""recipient"": ""Rahul"", ""subject"": ""Report"", ""body"": ""Regarding the Report""}}",,
seed_0205_persona_code_switch_2,persona_code_switch,send_email,"Arre, Rahul-ke report-ta niye ektu email kore deo toh.",No,"{""tool_name"": ""send_email"", ""parameters"": {""recipient"": ""Rahul"", ""subject"": ""Report"", ""body"": ""Regarding the Report""}}",,
seed_0218_pure_bangla_2,pure_bangla,send_email,বসকে রিপোর্ট পাঠিয়ে দাও তো একটা ইমেইল করে।,No,"{""tool_name"": ""send_email"", ""parameters"": {""recipient"": ""Boss"", ""subject"": ""Report"", ""body"": ""Regarding the Report""}}",,
seed_0272_transliteration_1,transliteration,create_calendar_event,Monday 18:00 te Doctor schedule kore daw.,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Doctor"", ""date"": ""Monday"", ""time"": ""18:00""}}",,
seed_0243_transliteration_1,transliteration,create_calendar_event,Monday 18:00 tay ekta meeting schedule kore daw.,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Meeting"", ""date"": ""Monday"", ""time"": ""18:00""}}",,
seed_0248_persona_code_switch_3,persona_code_switch,create_calendar_event,"Bhai, Tuesday 10:00 bajey meeting-er jonno schedule kore dao toh.",No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Meeting"", ""date"": ""Tuesday"", ""time"": ""10:00""}}",,
seed_0301_transliteration_2,transliteration,create_calendar_event,Tuesday 10:00 er dike lunch fix kro.,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Lunch"", ""date"": ""Tuesday"", ""time"": ""10:00""}}",,
seed_0034_persona_code_switch_1,persona_code_switch,get_weather,"Arre, Delhi er aajker weather report ta ki jante parbo?",No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""Delhi"", ""date"": ""today""}}",,
seed_0001_persona_code_switch_2,persona_code_switch,get_weather,"Dhaka-r weather update ektu daw toh bhai, aaj kemon?",No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""Dhaka"", ""date"": ""today""}}",,
seed_0350_pure_bangla_4,pure_bangla,search_flights,মুম্বাই থেকে লন্ডন যাওয়ার ফ্লাইটের তথ্য জানাও।,No,"{""tool_name"": ""search_flights"", ""parameters"": {""origin"": ""Mumbai"", ""destination"": ""London""}}",,
seed_0261_pure_bangla_0,pure_bangla,create_calendar_event,আগামী শুক্রবার সন্ধ্যা ৬টায় একটি মিটিংয়ের সময় নির্ধারণ করুন।,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Meeting"", ""date"": ""Friday"", ""time"": ""18:00""}}",,
seed_0214_persona_code_switch_0,persona_code_switch,send_email,"Bhai, boss ke meeting niye ekti email pathao to.",No,"{""tool_name"": ""send_email"", ""parameters"": {""recipient"": ""Boss"", ""subject"": ""Meeting"", ""body"": ""Regarding the Meeting""}}",,
seed_0213_persona_code_switch_5,persona_code_switch,send_email,"Meeting er jonno boss-ke ekta email send kora dorkar, kore daw na bhai?",No,"{""tool_name"": ""send_email"", ""parameters"": {""recipient"": ""Boss"", ""subject"": ""Meeting"", ""body"": ""Regarding the Meeting""}}",,
seed_0107_persona_code_switch_0,persona_code_switch,book_ride,"Bhai, amar jonno ekti taxi book kore daw toh airport-e jawar jonno.",Yes,"{""tool_name"": ""book_ride"", ""parameters"": {""destination"": ""Airport""}}",,
seed_0001_transliteration_0,transliteration,get_weather,ajker Dhaka-r weather kemon?,No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""Dhaka"", ""date"": ""today""}}",,
seed_0240_pure_bangla_3,pure_bangla,create_calendar_event,সোমবার দুপুর ২টায় একটা মিটিং ঠিক করে ফেলো তো।,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Meeting"", ""date"": ""Monday"", ""time"": ""14:00""}}",,
seed_0203_transliteration_3,transliteration,send_email,Rahul ke meeting niye ekti email koro.,No,"{""tool_name"": ""send_email"", ""parameters"": {""recipient"": ""Rahul"", ""subject"": ""Meeting"", ""body"": ""Regarding the Meeting""}}",,
seed_0276_persona_code_switch_4,persona_code_switch,create_calendar_event,Jodi parho to Tuesday 14:00 te ekta doctor schedule kore daw.,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Doctor"", ""date"": ""Tuesday"", ""time"": ""14:00""}}",,
seed_0019_transliteration_0,transliteration,get_weather,Tomorrow's Kolkata er weather report dao,No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""Kolkata"", ""date"": ""tomorrow""}}",,
seed_0047_pure_bangla_0,pure_bangla,get_weather,আগামীকাল লন্ডনের আবহাওয়া কী রকম থাকবে?,No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""London"", ""date"": ""tomorrow""}}",,
seed_0128_persona_code_switch_3,persona_code_switch,order_food,Domino's theke 2 ta Kacchi Biryani order kore de bhai.,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Domino's"", ""item"": ""Kacchi Biryani"", ""quantity"": 2}}",,
seed_0170_persona_code_switch_3,persona_code_switch,order_food,"Bhai, Star Kabab theke ekta burger order koro na please.",No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Star Kabab"", ""item"": ""Burger"", ""quantity"": 1}}",,
seed_0182_persona_code_switch_5,persona_code_switch,order_food,"Domino's theke 2ta burger order koro, please!",No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Domino's"", ""item"": ""Burger"", ""quantity"": 2}}",,
seed_0194_persona_code_switch_4,persona_code_switch,order_food,"KFC theke 3 ta burger lagbe, order kore daw bhai.",No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""KFC"", ""item"": ""Burger"", ""quantity"": 3}}",,
seed_0353_transliteration_0,transliteration,search_flights,London jaoar flight khuje dao,Yes,"{""tool_name"": ""search_flights"", ""parameters"": {""destination"": ""London""}}",,
seed_0233_pure_bangla_2,pure_bangla,send_email,অনুগ্রহ করে টিমকে ছুটির বিষয়ে একটি ইমেইল পাঠান।,No,"{""tool_name"": ""send_email"", ""parameters"": {""recipient"": ""Team"", ""subject"": ""Leave"", ""body"": ""Regarding the Leave""}}",,
seed_0193_pure_bangla_5,pure_bangla,order_food,KFC থেকে ৩টা বার্গার অর্ডার করো।,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""KFC"", ""item"": ""Burger"", ""quantity"": 3}}",,
seed_0176_pure_bangla_5,pure_bangla,order_food,"Star Kabab থেকে ৩টি বার্গার অর্ডার করতে চাই, করে দাও।",No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Star Kabab"", ""item"": ""Burger"", ""quantity"": 3}}",,
seed_0027_pure_bangla_3,pure_bangla,get_weather,কাল মুম্বাইয়ের আবহাওয়াটা কেমন হবে?,No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""Mumbai"", ""date"": ""tomorrow""}}",,
seed_0058_pure_bangla_1,pure_bangla,get_weather,রাজশাহী শহরের বর্তমান আবহাওয়া সম্পর্কে জানাবেন কি?,No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""Rajshahi""}}",,
seed_0341_pure_bangla_5,pure_bangla,search_flights,কলকাতা থেকে দিল্লি যাওয়ার ফ্লাইটের খোঁজ দাও।,No,"{""tool_name"": ""search_flights"", ""parameters"": {""origin"": ""Kolkata"", ""destination"": ""Delhi""}}",,
seed_0319_pure_bangla_2,pure_bangla,create_calendar_event,মিটিংয়ের সময় নির্ধারণ করে দিন।,Yes,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""meeting""}}",,
seed_0285_transliteration_2,transliteration,create_calendar_event,Doctor k friday 14:00 te schedule krte hobe.,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Doctor"", ""date"": ""Friday"", ""time"": ""14:00""}}",,
seed_0179_transliteration_4,transliteration,order_food,Domino's theke 1ta burger order kore dew.,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Domino's"", ""item"": ""Burger"", ""quantity"": 1}}",,
seed_0277_pure_bangla_1,pure_bangla,create_calendar_event,মঙ্গলবার বেলা ২টার সময় একজন ডাক্তারের সাথে সাক্ষাতের ব্যবস্থা করুন।,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Doctor"", ""date"": ""Tuesday"", ""time"": ""14:00""}}",,
seed_0268_pure_bangla_4,pure_bangla,create_calendar_event,সোমবার দুপুর ২টার দিকে ডাক্তারের সাথে অ্যাপয়েন্টমেন্ট ফিক্স করতে হবে।,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Doctor"", ""date"": ""Monday"", ""time"": ""14:00""}}",,
seed_0045_persona_code_switch_0,persona_code_switch,get_weather,"London er weather kemon ekhon, bolte parba?",No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""London""}}",,
seed_0045_persona_code_switch_2,persona_code_switch,get_weather,"London e ajker temperature koto, jano naki?",No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""London""}}",,
seed_0362_pure_bangla_5,pure_bangla,currency_convert,"১০০ ইউএস ডলার সমান কত বিডিটি হবে, হিসাব করে বলো।",No,"{""tool_name"": ""currency_convert"", ""parameters"": {""amount"": 100, ""from_currency"": ""USD"", ""to_currency"": ""BDT""}}",,
seed_0322_persona_code_switch_1,persona_code_switch,create_calendar_event,"Arre, ekta meeting set koro toh.",Yes,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""meeting""}}",,
seed_0095_transliteration_3,transliteration,book_ride,Airport-er jonno ekta taxi book kore dao.,Yes,"{""tool_name"": ""book_ride"", ""parameters"": {""destination"": ""Airport""}}",,
seed_0163_pure_bangla_1,pure_bangla,order_food,দয়া করে KFC থেকে আমাকে ২ পিস পিৎজা অর্ডার করে দিন।,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""KFC"", ""item"": ""Pizza"", ""quantity"": 2}}",,
seed_0318_persona_code_switch_5,persona_code_switch,create_calendar_event,Ektu meeting set kora jay ki?,Yes,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""meeting""}}",,
seed_0216_pure_bangla_5,pure_bangla,send_email,বসকে ইমেইল পাঠিয়ে জানিয়ে দাও যে মিটিংয়ের জন্য সব তৈরি।,No,"{""tool_name"": ""send_email"", ""parameters"": {""recipient"": ""Boss"", ""subject"": ""Meeting"", ""body"": ""Meeting is ready.""}}",,
seed_0374_transliteration_3,transliteration,currency_convert,500 USD to INR convert kre dao plz.,No,"{""tool_name"": ""currency_convert"", ""parameters"": {""amount"": 500, ""from_currency"": ""USD"", ""to_currency"": ""INR""}}",,
seed_0262_persona_code_switch_0,persona_code_switch,create_calendar_event,Friday 18:00 er dike ekta meeting fix kore daw to bhai.,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Meeting"", ""date"": ""Friday"", ""time"": ""18:00""}}",,
seed_0183_persona_code_switch_0,persona_code_switch,order_food,"Bhai, Domino's theke 2 ta burger order kore daw na?",No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Domino's"", ""item"": ""Burger"", ""quantity"": 2}}",,
seed_0173_transliteration_0,transliteration,order_food,Star Kabab theke 2 ta burger order koro.,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Star Kabab"", ""item"": ""Burger"", ""quantity"": 2}}",,
seed_0157_transliteration_5,transliteration,order_food,Domino's theke 3ti pizza order koro.,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Domino's"", ""item"": ""Pizza"", ""quantity"": 3}}",,
seed_0212_pure_bangla_1,pure_bangla,send_email,Rahul-কে ইমেইল করে জানাও যে তার লিভ অ্যাপ্রুভ হয়ে গেছে।,No,"{""tool_name"": ""send_email"", ""parameters"": {""recipient"": ""Rahul"", ""subject"": ""Leave"", ""body"": ""Regarding my leave application""}}",,
seed_0144_transliteration_4,transliteration,order_food,Star Kabab theke 1ta pizza order deo to.,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Star Kabab"", ""item"": ""Pizza"", ""quantity"": 1}}",,
seed_0080_transliteration_2,transliteration,book_ride,Dhanmondi theke Airport a ekta ride book kore dao.,No,"{""tool_name"": ""book_ride"", ""parameters"": {""pickup"": ""Dhanmondi"", ""destination"": ""Airport""}}",,
seed_0258_pure_bangla_0,pure_bangla,create_calendar_event,শুক্রবার দুপুর ২টায় একটি মিটিংয়ের সময় নির্ধারণ করুন।,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Meeting"", ""date"": ""Friday"", ""time"": ""14:00""}}",,
seed_0127_persona_code_switch_5,persona_code_switch,order_food,"Domino's theke 2ta Kacchi Biryani order kore felo toh bhai, bhishon khide paise.",No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Domino's"", ""item"": ""Kacchi Biryani"", ""quantity"": 2}}",,
seed_0264_persona_code_switch_0,persona_code_switch,create_calendar_event,"Bhai, Monday 10:00 am-e doctor schedule kora lagbe.",No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Doctor"", ""date"": ""Monday"", ""time"": ""10:00""}}",,
seed_0077_persona_code_switch_0,persona_code_switch,book_ride,"Bhai, airport theke Gulshan jabo, ektu cab book kore daw na.",No,"{""tool_name"": ""book_ride"", ""parameters"": {""pickup"": ""Airport"", ""destination"": ""Gulshan""}}",,
seed_0135_transliteration_5,transliteration,order_food,KFC theke 1ta Kacchi Biryani order de.,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""KFC"", ""item"": ""Kacchi Biryani"", ""quantity"": 1}}",,
seed_0181_transliteration_3,transliteration,order_food,Domino's theke 2ta burger order koro amr jonno.,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Domino's"", ""item"": ""Burger"", ""quantity"": 2}}",,
seed_0358_transliteration_3,transliteration,search_flights,London er flight list ta dao,Yes,"{""tool_name"": ""search_flights"", ""parameters"": {""destination"": ""London""}}",,
seed_0127_transliteration_1,transliteration,order_food,Domino's theke 2 Kacchi Biryani order daw.,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Domino's"", ""item"": ""Kacchi Biryani"", ""quantity"": 2}}",,
seed_0043_pure_bangla_1,pure_bangla,get_weather,আজ London-এ আবহাওয়ার অবস্থা জানাবেন কি?,No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""London"", ""date"": ""today""}}",,
seed_0264_transliteration_5,transliteration,create_calendar_event,Monday 10:00 am e Doctor schedule kro.,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Doctor"", ""date"": ""Monday"", ""time"": ""10:00""}}",,
seed_0196_transliteration_3,transliteration,order_food,ami akta Burger order krte chai plz.,Yes,"{""tool_name"": ""order_food"", ""parameters"": {""item"": ""Burger""}}",,
seed_0184_pure_bangla_5,pure_bangla,order_food,"আমি Domino's থেকে ৩টি বার্গার নিতে চাই, অর্ডার করে দাও।",No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Domino's"", ""item"": ""Burger"", ""quantity"": 3}}",,
seed_0350_pure_bangla_0,pure_bangla,search_flights,মুম্বাই থেকে লন্ডন যাওয়ার ফ্লাইটগুলো দেখান।,No,"{""tool_name"": ""search_flights"", ""parameters"": {""origin"": ""Mumbai"", ""destination"": ""London""}}",,
seed_0343_persona_code_switch_4,persona_code_switch,search_flights,"Bhai, tomorrow Kolkata to London-er flight details gulo jodi ektu ber kora jeto!",No,"{""tool_name"": ""search_flights"", ""parameters"": {""origin"": ""Kolkata"", ""destination"": ""London"", ""date"": ""tomorrow""}}",,
seed_0259_persona_code_switch_3,persona_code_switch,create_calendar_event,"Friday 14:00 er dike meeting fix kora lagbe, kore daw.",No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Meeting"", ""date"": ""Friday"", ""time"": ""14:00""}}",,
seed_0074_persona_code_switch_4,persona_code_switch,book_ride,"Airport theke Dhanmondi jabo bhai, ektu ride er arrangement koro.",No,"{""tool_name"": ""book_ride"", ""parameters"": {""pickup"": ""Airport"", ""destination"": ""Dhanmondi""}}",,
seed_0273_transliteration_2,transliteration,create_calendar_event,Tuesday 10:00 am e Doctor schedule kore dao plz.,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Doctor"", ""date"": ""Tuesday"", ""time"": ""10:00""}}",,
seed_0230_pure_bangla_4,pure_bangla,send_email,রিপোর্টটি নিয়ে টিম-কে একটা ইমেইল করে দাও তো।,No,"{""tool_name"": ""send_email"", ""parameters"": {""recipient"": ""Team"", ""subject"": ""Report"", ""body"": ""Regarding the Report""}}",,
seed_0019_persona_code_switch_4,persona_code_switch,get_weather,"Tomorrow er Kolkata er weather report ta lagbe, ektu daw please.",No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""Kolkata"", ""date"": ""tomorrow""}}",,
seed_0243_persona_code_switch_1,persona_code_switch,create_calendar_event,"Arre, Monday 18:00 er jonno ekta meeting schedule koro to.",No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Meeting"", ""date"": ""Monday"", ""time"": ""18:00""}}",,
